taxonID,locationID,locality,countryCode,occurrenceStatus,establishmentMeans,source,occurrenceRemarks
1238,ISO3166-2:MX-MEX,México,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1238,ISO3166-2:MX-MIC,Michoacán de Ocampo,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1238,ISO3166-2:MX-MOR,Morelos,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1238,ISO3166-2:MX-QUE,Querétaro,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1240,ISO3166-2:MX-ZAC,Zacatecas,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1241,ISO3166-2:MX-CMX,Ciudad de México,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1242,ISO3166-2:US-CO,Colorado,US,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1242,ISO3166-2:US-NM,New Mexico,US,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1243,ISO3166-2:US-CO,Colorado,US,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1243,ISO3166-2:US-DC,District of Columbia,US,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1243,ISO3166-2:US-MI,Michigan,US,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1245,ISO3166-2:US-DC,District of Columbia,US,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1245,ISO3166-2:US-IN,Indiana,US,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1245,ISO3166-2:US-MI,Michigan,US,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1245,ISO3166-2:US-MO,Missouri,US,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1245,ISO3166-2:US-NJ,New Jersey,US,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1245,ISO3166-2:US-NY,New York,US,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1245,ISO3166-2:US-VA,Virginia,US,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1250,ISO3166-2:MX-HID,Hidalgo,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1250,ISO3166-2:MX-JAL,Jalisco,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1250,ISO3166-2:MX-MEX,México,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1250,ISO3166-2:MX-MIC,Michoacán de Ocampo,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1250,ISO3166-2:MX-MOR,Morelos,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1251,ISO3166-2:MX-CMX,Ciudad de México,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1251,ISO3166-2:MX-MEX,México,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1251,ISO3166-2:MX-MOR,Morelos,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1251,ISO3166-2:MX-NLE,Nuevo León,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1251,ISO3166-2:MX-OAX,Oaxaca,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
