provided_interaction_type_label,provided_interaction_type_id,mapped_to_interaction_type_label,mapped_to_interaction_type_id
host gall,,interactsWith,http://purl.obolibrary.org/obo/RO_0002437
galler of,,interactsWith,http://purl.obolibrary.org/obo/RO_0002437
always reared from oaks from Quercus section (Burks 1979),,interactsWith,http://purl.obolibrary.org/obo/RO_0002437
